"nbProvider","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"W_W","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"coeff_radius_max","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"range_vision_consumer","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400"
"Witness","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"W_I","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"[reporter]","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt","utilityIt"
,"1.9295685777563485","1.8135543418652043","2.324313082107943","2.4789893982667985","3.0194680617317995","2.7048258513246375","3.8911976965319064","2.5668927542496434","2.354250333804383","2.1609256369024297","2.771262537004741","1.8356118132321988","2.0912675954915683","2.7070072704423067","2.513270754640001","2.8897050760046636","2.109584288571637","2.5712117810984787","2.46527115436543","2.863294205203428","2.602615257896125","2.2937391022459477","2.6747643427949694","2.1683207417449393","2.6065761954265017","3.5245019803754176","2.0216230664720602","2.2130105338223545","2.4755806061628456","2.48429914030407"
,"2.6103183828253482","2.7077723435415453","2.6804435041618326","2.3675255530256663","3.7063346331677316","3.22261845334602","4.250271475183224","3.2504989165067135","3.189699409222237","2.761731572646728","3.3633025735347046","3.6517326511286674","2.7643663144227824","2.9041688647297943","3.962814507193713","3.278007698432779","2.473241824507535","2.831302324595379","2.7577252814600124","3.6306536617509955","3.431805294146217","2.5638000423902723","3.5859968220823175","3.1564644123700525","2.9650508550301833","4.215489192765741","2.6987999464957593","2.3701391694429343","2.8953697563371783","3.2737204491653826"
,"3.308375534731307","2.4367917226845037","2.930030084373186","2.7342234148644233","3.269205047675131","2.4607570666414134","4.428529058703978","3.3678171823465353","3.03854148900833","2.547414335734099","3.366062588526663","3.3765832177585717","2.8759466752776617","3.2454865672223385","3.1289713893240756","3.694136088249004","2.8572182016751246","2.867017129434347","3.067684842979284","4.112377814381761","3.5376004391751783","3.087068716497499","3.3620533892909226","2.961743774329333","3.439718411876646","3.9278737177586214","2.5666341350247515","2.436913311161297","3.153153745956343","3.41285943374136"
,"2.553890183755326","2.5728514079744067","2.2953182933119756","2.259683305032332","3.607714917041949","2.531140848426254","4.183844476741249","3.0830058473746167","2.9132751975288285","2.5277681390171893","3.0999150419249735","3.480967048426558","2.501662781573604","3.617902661338772","3.5220546143569167","3.4333042821262","2.8160978469312097","2.8129203442922828","2.7062261804796033","4.092170483829216","3.4697710259501777","3.25322053615682","3.8050123862516765","3.294810699850031","3.1246289635015985","3.9136438666702853","2.107220896182888","2.588629778173204","2.881125610018171","3.5393084095184695"
,"2.521511583797929","2.5897629190640785","2.5583498399324043","3.3337585896779274","3.168217222219461","3.047492659313752","4.073525406783484","2.886712179936787","2.6122392975429745","2.3723260039540017","3.50620323869996","3.36473166496973","2.5945294433791557","3.547305703480566","3.535959088717002","3.5575797624077623","2.7129434782962765","3.1257820069849083","3.1620596975272153","4.648353853815483","3.3125645127054626","2.5273855980087747","3.335741506416974","3.260262252389655","2.940507347627616","3.8440851762260717","2.5678638218648664","2.567440074052919","2.785484613046476","3.6479548893335627"
,"2.3460362106510937","2.0083669610118586","2.3808710611529116","2.414918203951255","2.823280455573872","2.281265635277535","4.257817789328227","2.8878750571237646","3.320870266637591","2.6086188033747306","3.1227933187677497","3.0942363844754213","2.586178895652722","3.6039719064935003","3.8988802608870294","3.0329560812322787","2.8523496420224244","2.5521717358797","2.825530414885156","3.980653073717185","3.4574807685501","2.5908335851133857","2.873704360989013","3.139205384576102","3.133687860429445","4.350415494319476","2.5687512836070536","2.3176993826492227","2.9275683020324776","3.0503289094503314"
,"2.4637345432451094","2.4229091642356995","2.1224988321949403","2.6665404248243942","3.07108382026276","2.3995287667112035","4.377228756562729","2.954422028792758","2.9340020418929726","2.4940957007998086","3.133142600547983","3.849285873269332","2.578200185890101","3.3767873862352595","3.5978230386966796","3.270371475675083","2.681765656189446","2.982912944152299","3.0942723124020737","3.992220078829138","3.3334949562478613","2.8970036650733646","3.2121288787959137","2.8783198945170896","3.016928513685712","3.909083565113713","2.553910387878768","2.042214785314157","2.555215808737722","3.2031589824096525"
,"2.1592134091972035","1.8974545350960925","2.27218981434864","2.6590276973430456","2.782578357927384","1.8068105179710297","4.005945820867568","2.722745531231043","2.9857388091158357","2.3620689200990146","3.3569276354338866","3.7033922578287246","2.2780900583525114","3.61204419603202","3.6974752819141106","3.234266485233455","2.774530651720919","2.496018782844079","2.5790411411484446","3.4883497942942228","2.930462161634689","2.9207466256444374","3.2111081718623695","2.9404033875907643","3.373648132454228","3.7020610922191906","2.2094615543953617","2.2863047505426715","2.655423856901794","3.247325753119719"
,"2.668244865934483","2.380427314416681","2.377677968410382","2.975937780886145","3.26625834937023","2.4793662387837743","4.147406871811252","2.830159327114429","2.8086007851046997","2.619241925967835","2.699115274388444","3.4093947262595456","2.39108288454584","3.0308288400588954","3.3178261709364123","2.962798587131405","2.410719904941078","2.596246391203141","2.5109954097274256","4.094295820365763","3.0200267509808727","2.528549055618593","2.7915114084465866","2.901179514167985","2.637495683058032","3.9763731032963525","1.869242300528485","2.3926043092263103","2.3543632503201164","3.375735009705177"
,"3.008400193680224","2.2690493766751585","2.7650415716271928","2.7697622590152178","3.6053099787447462","3.0634400210648502","4.530886510007297","3.0951120003774095","3.160483664677905","2.354054519395975","3.2319528489541223","3.6459238080806804","2.8682935224725563","3.336000343646334","3.7302652592363215","3.0338896884867306","2.8772495942121","2.6393501272443727","3.156331031954476","3.9093870870269294","3.7058298892332626","3.3795441994614426","3.5205002718224128","3.1952536673538736","3.1684260337619956","4.056330504439653","2.7617818705725985","2.3490928045751867","3.151676644596106","3.2164527364852273"
